test_name,target_cell,detection_ts_ms,latency_ms,status
test_pixel_state_transition_detected,0,712.9,0.0,PASSED
test_circuit_breaker_recovers_from_drift,3,0.0,0.0,PASSED
test_corrupted_payload_boundary_disabled,99,0.0,0.0,PASSED
test_pixel_state_transition_detected,0,715.1,0.0,PASSED
test_chained_actions_inside_race_window,1,1979,71.0,PASSED
test_circuit_breaker_recovers_from_drift,3,0.0,0.0,PASSED
test_corrupted_payload_error_boundary,99,0.0,0.0,PASSED
test_corrupted_payload_boundary_disabled,99,0.0,0.0,PASSED
test_pixel_state_transition_detected,0,713.7,0.0,PASSED
test_chained_actions_inside_race_window,1,1981.5,71.61,PASSED
test_circuit_breaker_recovers_from_drift,3,0.0,0.0,PASSED
test_corrupted_payload_error_boundary,99,0.0,0.0,PASSED
test_corrupted_payload_boundary_disabled,99,0.0,0.0,PASSED
test_pixel_state_transition_detected,0,725,0.0,PASSED
test_chained_actions_inside_race_window,1,1986.6,71.19,PASSED
test_circuit_breaker_recovers_from_drift,3,0.0,0.0,PASSED
test_corrupted_payload_error_boundary,99,0.0,0.0,PASSED
test_corrupted_payload_boundary_disabled,99,0.0,0.0,PASSED
test_pixel_state_transition_detected,0,705.1,0.0,PASSED
test_chained_actions_inside_race_window,1,1977.2,72.01,PASSED
test_circuit_breaker_recovers_from_drift,3,0.0,0.0,PASSED
test_corrupted_payload_error_boundary,99,0.0,0.0,PASSED
test_corrupted_payload_boundary_disabled,99,0.0,0.0,PASSED
test_pixel_state_transition_detected,0,992.1,0.0,PASSED
test_chained_actions_inside_race_window,1,1503.1,84.61,PASSED
test_circuit_breaker_recovers_from_drift,3,0.0,0.0,PASSED
test_corrupted_payload_error_boundary,99,0.0,0.0,PASSED
test_corrupted_payload_boundary_disabled,99,0.0,0.0,PASSED
test_pixel_state_transition_detected,0,935.3,0.0,PASSED
test_chained_actions_inside_race_window,1,1734.5,68.65,PASSED
test_circuit_breaker_recovers_from_drift,3,0.0,0.0,PASSED
test_corrupted_payload_error_boundary,99,0.0,0.0,PASSED
test_corrupted_payload_boundary_disabled,99,0.0,0.0,PASSED
test_pixel_state_transition_detected,0,997.1,0.0,PASSED
test_chained_actions_inside_race_window,1,1667.2,71.44,PASSED
test_circuit_breaker_recovers_from_drift,3,0.0,0.0,PASSED
test_corrupted_payload_error_boundary,99,0.0,0.0,PASSED
test_corrupted_payload_boundary_disabled,99,0.0,0.0,PASSED
